ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
00A,heliport,Total Rf Heliport,"-74.93360137939453, 40.07080078125",11,NA,US,US-PA,Bensalem,00A,,00A
00AA,small_airport,Aero B Ranch Airport,"-101.473911, 38.704022",3435,NA,US,US-KS,Leoti,00AA,,00AA
00AK,small_airport,Lowell Field,"-151.695999146, 59.94919968",450,NA,US,US-AK,Anchor Point,00AK,,00AK
00AL,small_airport,Epps Airpark,"-86.77030181884766, 34.86479949951172",820,NA,US,US-AL,Harvest,00AL,,00AL
00AR,closed,Newport Hospital & Clinic Heliport,"-91.254898, 35.6087",237,NA,US,US-AR,Newport,,,
00AS,small_airport,Fulton Airport,"-97.8180194, 34.9428028",1100,NA,US,US-OK,Alex,00AS,,00AS
00AZ,small_airport,Cordes Airport,"-112.16500091552734, 34.305599212646484",3810,NA,US,US-AZ,Cordes,00AZ,,00AZ
00CA,small_airport,Goldstone /Gts/ Airport,"-116.888000488, 35.350498199499995",3038,NA,US,US-CA,Barstow,00CA,,00CA
00CL,small_airport,Williams Ag Airport,"-121.763427, 39.427188",87,NA,US,US-CA,Biggs,00CL,,00CL
00CN,heliport,Kitchen Creek Helibase Heliport,"-116.4597417, 32.7273736",3350,NA,US,US-CA,Pine Valley,00CN,,00CN
00CO,closed,Cass Field,"-104.344002, 40.622202",4830,NA,US,US-CO,Briggsdale,,,
00FA,small_airport,Grass Patch Airport,"-82.21900177001953, 28.64550018310547",53,NA,US,US-FL,Bushnell,00FA,,00FA
00FD,heliport,Ringhaver Heliport,"-82.34539794921875, 28.846599578857422",25,NA,US,US-FL,Riverview,00FD,,00FD
00FL,small_airport,River Oak Airport,"-80.96920013427734, 27.230899810791016",35,NA,US,US-FL,Okeechobee,00FL,,00FL
00GA,small_airport,Lt World Airport,"-84.06829833984375, 33.76750183105469",700,NA,US,US-GA,Lithonia,00GA,,00GA
00GE,heliport,Caffrey Heliport,"-84.73390197753906, 33.88420104980469",957,NA,US,US-GA,Hiram,00GE,,00GE
00HI,heliport,Kaupulehu Heliport,"-155.980233, 19.832715",43,NA,US,US-HI,Kailua/Kona,00HI,,00HI
00ID,small_airport,Delta Shores Airport,"-116.21399688720703, 48.145301818847656",2064,NA,US,US-ID,Clark Fork,00ID,,00ID
00IG,small_airport,Goltl Airport,"-101.395994, 39.724028",3359,NA,US,US-KS,McDonald,00IG,,00IG
00II,heliport,Bailey Generation Station Heliport,"-87.122802734375, 41.644500732421875",600,NA,US,US-IN,Chesterton,00II,,00II
00IL,small_airport,Hammer Airport,"-89.5604019165039, 41.97840118408203",840,NA,US,US-IL,Polo,00IL,,00IL
00IN,heliport,St Mary Medical Center Heliport,"-87.2605972290039, 41.51139831542969",634,NA,US,US-IN,Hobart,00IN,,00IN
00IS,small_airport,Hayenga's Cant Find Farms Airport,"-89.1229019165039, 40.02560043334961",820,NA,US,US-IL,Kings,00IS,,00IS
00KS,small_airport,Hayden Farm Airport,"-94.93049621582031, 38.72779846191406",1100,NA,US,US-KS,Gardner,00KS,,00KS
00KY,small_airport,Robbins Roost Airport,"-84.61969757080078, 37.409400939941406",1265,NA,US,US-KY,Stanford,00KY,,00KY
00LA,heliport,Shell Chemical East Site Heliport,"-90.980833, 30.191944",15,NA,US,US-LA,Gonzales,00LA,,00LA
00LL,heliport,Ac & R Components Heliport,"-89.70559692382812, 39.66529846191406",600,NA,US,US-IL,Chatham,00LL,,00LL
00LS,small_airport,Lejeune Airport,"-92.42939758300781, 30.13629913330078",12,NA,US,US-LA,Esterwood,00LS,,00LS
00MD,small_airport,Slater Field,"-75.75379943847656, 38.75709915161133",45,NA,US,US-MD,Federalsburg,00MD,,00MD
00MI,heliport,Dow Chemical Heliport,"-86.41670227050781, 43.94940185546875",588,NA,US,US-MI,Ludington,00MI,,00MI
00MN,small_airport,Battle Lake Municipal Airport,"-95.70030212402344, 46.29999923706055",1365,NA,US,US-MN,Battle Lake,00MN,,00MN
00MO,small_airport,Cooper Flying Service Airport,"-94.412399291992, 37.202800750732",970,NA,US,US-MO,Alba,00MO,,00MO
00MT,closed,Sands Ranch Airport,"-109.705002, 48.537498",2600,NA,US,US-MT,Havre,,,
00N,small_airport,Bucks Airport,"-75.1852035522461, 39.473201751708984",105,NA,US,US-NJ,Bridgeton,00N,,00N
00NC,small_airport,North Raleigh Airport,"-78.37139892578125, 36.085201263427734",348,NA,US,US-NC,Louisburg,00NC,,00NC
00NJ,heliport,Colgate-Piscataway Heliport,"-74.47460174560547, 40.52090072631836",78,NA,US,US-NJ,New Brunswick,00NJ,,00NJ
00NK,seaplane_base,Cliche Cove Seaplane Base,"-73.3698057, 44.8118612",96,NA,US,US-NY,Beekmantown,00NK,,00NK
00NY,small_airport,Weiss Airfield,"-77.49970245361328, 42.90010070800781",1000,NA,US,US-NY,West Bloomfield,00NY,,00NY
00OH,small_airport,Exit 3 Airport,"-84.14219665527344, 41.59090042114258",785,NA,US,US-OH,Wauseon,00OH,,00OH
00OI,heliport,Miami Valley Hospital Heliport,"-84.1874008178711, 39.74530029296875",905,NA,US,US-OH,Dayton,00OI,,00OI
00OR,heliport,Steel Systems Heliport,"-123.12999725341797, 44.932899475097656",195,NA,US,US-OR,Salem,00OR,,00OR
00PA,heliport,R J D Heliport,"-75.74690246582031, 39.94889831542969",402,NA,US,US-PA,Coatesville,00PA,,00PA
00PN,small_airport,Ferrell Field,"-80.211111, 41.2995",1301,NA,US,US-PA,Mercer,00PN,,00PN
00PS,closed,Thomas Field,"-77.365303, 40.3778",815,NA,US,US-PA,Loysville,,,
00S,small_airport,Mc Kenzie Bridge State Airport,"-122.088996887, 44.183200836199994",1620,NA,US,US-OR,Mc Kenzie Bridge,00S,,00S
00SC,small_airport,Flying O Airport,"-80.26719665527344, 34.0093994140625",150,NA,US,US-SC,Sumter,00SC,,00SC
00TA,heliport,Sw Region Faa Heliport,"-97.30580139160156, 32.826900482177734",598,NA,US,US-TX,Fort Worth,00TA,,00TA
00TE,heliport,Tcjc-Northeast Campus Heliport,"-97.18949890136719, 32.847599029541016",600,NA,US,US-TX,Fort Worth,00TE,,00TE
00TN,small_airport,Ragsdale Road Airport,"-85.95359802246094, 35.515899658203125",1100,NA,US,US-TN,Manchester,00TN,,00TN
00TS,small_airport,Alpine Range Airport,"-97.24199676513672, 32.607601165771484",670,NA,US,US-TX,Everman,00TS,,00TS
00TX,closed,San Jacinto Methodist Hospital Heliport,"-94.980201, 29.7377",19,NA,US,US-TX,Baytown,,,
00UT,closed,Clear Creek Ranch Airport,"-112.8219985961914, 37.247798919677734",6138,NA,US,US-UT,Kanab,00UT,,00UT
00VA,small_airport,Vaughan Airport,"-78.9991684, 36.57600021",551,NA,US,US-VA,Alton,00VA,,00VA
00VI,small_airport,Groundhog Mountain Airport,"-80.49949645996094, 36.663299560546875",2680,NA,US,US-VA,Hillsville,00VI,,00VI
00W,small_airport,Lower Granite State Airport,"-117.44300079346, 46.673500061035",719,NA,US,US-WA,Colfax,00W,,00W
00WA,small_airport,Howell Airport,"-122.77200317382812, 47.17839813232422",150,NA,US,US-WA,Longbranch,00WA,,00WA
00WI,small_airport,Northern Lite Airport,"-89.05010223388672, 44.304298400878906",860,NA,US,US-WI,Waupaca,00WI,,00WI
00WN,small_airport,Hawks Run Airport,"-117.2490005493164, 46.25",2900,NA,US,US-WA,Asotin,00WN,,00WN
00WV,small_airport,Lazy J. Aerodrome,"-79.86609649658203, 38.82889938354492",2060,NA,US,US-WV,Beverly,00WV,,00WV
00WY,heliport,Mountain View Regional Hospital Heliport,"-106.224443, 42.840361",5210,NA,US,US-WY,Casper,00WY,,00WY
00XS,small_airport,L P Askew Farms Airport,"-101.93399810791016, 33.03340148925781",3110,NA,US,US-TX,O'Donnell,00XS,,00XS
01A,small_airport,Purkeypile Airport,"-152.27000427246094, 62.943599700927734",1950,NA,US,US-AK,Purkeypile,01A,,01A
01AK,heliport,Providence Seward Medical Center Heliport,"-149.446249008, 60.105873975399994",120,NA,US,US-AK,Seward,01AK,,01AK
01AL,small_airport,Ware Island Airport,"-86.51390075683594, 32.94599914550781",344,NA,US,US-AL,Clanton,01AL,,01AL
01AR,heliport,Community Hospital of De Queen Heliport,"-94.35489654541016, 34.047298431396484",400,NA,US,US-AR,De Queen,01AR,,01AR
01AZ,heliport,Yat Heliport,"-111.86499786376953, 34.60810089111328",3300,NA,US,US-AZ,Camp Verde,01AZ,,01AZ
01C,closed,Grant Airport,"-85.775001525879, 43.341701507568",815,NA,US,US-MI,Grant,01C,,01C
01CA,heliport,Lugo Substation Heliport,"-117.370058745, 34.368240591699994",3733,NA,US,US-CA,Hesperia,01CA,,01CA
01CL,small_airport,Swansboro Country Airport,"-120.73400115966797, 38.79990005493164",2594,NA,US,US-CA,Placerville,01CL,,01CL
01CN,heliport,Los Angeles County Sheriff's Department Heliport,"-118.15399932861328, 34.03779983520508",300,NA,US,US-CA,Los Angeles,01CN,,01CN
01CO,heliport,St Vincent General Hospital Heliport,"-106.24600219726562, 39.24530029296875",10175,NA,US,US-CO,Leadville,01CO,,01CO
01CT,heliport,Berlin Fairgrounds Heliport,"-72.72750091552734, 41.62730026245117",60,NA,US,US-CT,Berlin,01CT,,01CT
01FA,small_airport,Rybolt Ranch Airport,"-81.14420318603516, 28.589399337768555",55,NA,US,US-FL,Orlando,01FA,,01FA
01FD,heliport,Florida Hospital-Altamonte Heliport,"-81.37059783935547, 28.666400909423828",86,NA,US,US-FL,Altamonte Springs,01FD,,01FD
01FL,small_airport,Cedar Knoll Flying Ranch Airport,"-81.1592025756836, 28.78190040588379",19,NA,US,US-FL,Geneva,01FL,,01FL
01GA,heliport,Medical Center Heliport,"-84.9791030883789, 32.47930145263672",319,NA,US,US-GA,Columbus,01GA,,01GA
01GE,small_airport,The Farm Airport,"-82.77110290527344, 32.674400329589844",375,NA,US,US-GA,Wrightsville,01GE,,01GE
01IA,small_airport,Stender Airport,"-90.74130249023438, 41.66109848022461",725,NA,US,US-IA,Maysville,01IA,,01IA
01ID,small_airport,Lava Hot Springs Airport,"-112.03199768066406, 42.60820007324219",5268,NA,US,US-ID,Lava Hot Springs,01ID,,01ID
01II,small_airport,Myers Field,"-86.50669860839844, 39.8849983215332",950,NA,US,US-IN,Lizton,01II,,01II
01IL,heliport,Hoopeston Community Memorial Hospital Heliport,"-87.65950012207031, 40.45859909057617",583,NA,US,US-IL,Hoopeston,01IL,,01IL
01IN,heliport,Community Hospital Heliport,"-85.69580078125, 40.13090133666992",890,NA,US,US-IN,Anderson,01IN,,01IN
01IS,small_airport,William E. Koenig Airport,"-90.31819915771484, 39.01620101928711",670,NA,US,US-IL,Dow,01IS,,01IS
01J,small_airport,Hilliard Airpark,"-81.90570068359375, 30.68630027770996",59,NA,US,US-FL,Hilliard,01J,,01J
01K,small_airport,Caldwell Municipal Airport,"-97.5864028930664, 37.03609848022461",1157,NA,US,US-KS,Caldwell,01K,,01K
01KS,small_airport,Flying N Ranch Airport,"-97.00330352783203, 38.54059982299805",1485,NA,US,US-KS,Lost Springs,01KS,,01KS
01KY,heliport,Lourdes Hospital Heliport,"-88.64689636230469, 37.051700592041016",419,NA,US,US-KY,Paducah,01KY,,01KY
01LA,small_airport,Barham Airport,"-91.77369689941406, 32.638999938964844",90,NA,US,US-LA,Oak Ridge,01LA,,01LA
01LL,small_airport,Schumaier Restricted Landing Area,"-89.46389770507812, 38.12580108642578",555,NA,US,US-IL,Pinckneyville,01LL,,01LL
01LS,small_airport,Country Breeze Airport,"-91.07740020751953, 30.70599937438965",125,NA,US,US-LA,Slaughter,01LS,,01LS
01MA,heliport,Compaq Andover Heliport,"-71.18009948730469, 42.625099182128906",140,NA,US,US-MA,Andover,01MA,,01MA
01MD,seaplane_base,Annapolis Seaplane Base,"-76.456001, 38.999199",,NA,US,US-MD,Annapolis,01MD,,01MD
01ME,seaplane_base,Saint Peter's Seaplane Base,"-68.50029754638672, 46.778900146484375",608,NA,US,US-ME,Portage Lake,01ME,,01ME
01MI,heliport,Flow Through Terminal Heliport,"-83.67970275878906, 43.04949951171875",736,NA,US,US-MI,Flint,01MI,,01MI
01MN,seaplane_base,Barnes Seaplane Base,"-92.55740356445312, 47.899600982666016",1358,NA,US,US-MN,Cook,01MN,,01MN
01MO,heliport,Highway Patrol Troop C Headquarters Heliport,"-90.48429870605469, 38.641700744628906",615,NA,US,US-MO,Town and Country,01MO,,01MO
01MT,small_airport,Crystal Lakes Resort Airport,"-114.87999725341797, 48.789100646972656",3141,NA,US,US-MT,Fortine,01MT,,01MT
01NC,small_airport,Topsail Airpark,"-77.5813980102539, 34.47529983520508",65,NA,US,US-NC,Holly Ridge,01NC,,01NC
01NE,small_airport,Detour Airport,"-100.65299987792969, 40.84360122680664",3000,NA,US,US-NE,Wellfleet,01NE,,01NE
01NH,small_airport,Moore Airfield,"-72.086998, 43.6445",835,NA,US,US-NH,Canaan,01NH,,01NH
01NJ,heliport,Albert Guido Memorial Heliport,"-74.13710021972656, 40.741798400878906",10,NA,US,US-NJ,Newark,01NJ,,01NJ
01NM,small_airport,Champion Ranch Airport,"-104.540278, 33.008611",3630,NA,US,US-NM,Artesia,01NM,,01NM
01NV,small_airport,Lantana Ranch Airport,"-119.0270004272461, 38.76390075683594",4600,NA,US,US-NV,Yerington,01NV,,01NV
01NY,heliport,Vassar Hospital Heliport,"-73.94960021972656, 41.70009994506836",100,NA,US,US-NY,Poughkeepsie,01NY,,01NY
01OI,heliport,Galion Community Hospital Heliport,"-82.80159759521484, 40.73059844970703",1140,NA,US,US-OH,Galion,01OI,,01OI
01OK,small_airport,Lawrence Airport,"-98.6364974975586, 35.294498443603516",1525,NA,US,US-OK,Eakly,01OK,,01OK
01OR,closed,Red & White Flying Service Airport,"-121.044997, 43.119301",4346,NA,US,US-OR,Silver Lake,,,
01PA,heliport,Pine Heliport,"-80.0509033203125, 40.655601501464844",1215,NA,US,US-PA,Mars,01PA,,01PA
01PN,small_airport,Bierly(Personal Use) Airport,"-77.73889923095703, 40.930599212646484",960,NA,US,US-PA,Bellefonte,01PN,,01PN
01PS,small_airport,Nort's Resort Airport,"-76.02960205078125, 41.59590148925781",1040,NA,US,US-PA,Meshoppen,01PS,,01PS
01SC,small_airport,York Airport,"-81.25279998779297, 35.032100677490234",779,NA,US,US-SC,York,01SC,,01SC
01TA,heliport,Thirty Thirty Matlock Office Center Heliport,"-97.11579895019531, 32.69419860839844",630,NA,US,US-TX,Arlington,01TA,,01TA
01TE,small_airport,Smith Field,"-96.4280014038086, 32.73759841918945",505,NA,US,US-TX,Forney,01TE,,01TE
01TN,small_airport,Colonial Air Park,"-89.73059844970703, 34.99589920043945",370,NA,US,US-TN,Collierville,01TN,,01TN
01TS,heliport,St Joseph Hospital Heliport,"-97.32450103759766, 32.72850036621094",675,NA,US,US-TX,Fort Worth,01TS,,01TS
01TX,small_airport,Mims Farm Ultralightport,"-96.87750244140625, 32.38759994506836",610,NA,US,US-TX,Waxahachie,01TX,,01TX
01U,small_airport,Duckwater Airport,"-115.63400268554688, 38.851600646972656",5124,NA,US,US-NV,Duckwater,01U,,01U
01UT,small_airport,La Sal Junction Airport,"-109.39600372314453, 38.30830001831055",6000,NA,US,US-UT,La Sal,01UT,,01UT
01VA,small_airport,Pickles Airport,"-77.9250030518, 39.125",500,NA,US,US-VA,Berryville,01VA,,01VA
01WA,heliport,Willapa Harbor Heliport,"-123.81199645996094, 46.66320037841797",154,NA,US,US-WA,South Bend,01WA,,01WA
01WI,small_airport,Prehn Cranberry Company Airport,"-90.38919830322266, 44.0099983215332",930,NA,US,US-WI,Tomah,01WI,,01WI
01WN,heliport,Whidbey General Hospital Heliport,"-122.68499755859375, 48.213401794433594",103,NA,US,US-WA,Coupeville,01WN,,01WN
01WT,heliport,Odyssey Heliport,"-122.210908, 47.518178",20,NA,US,US-WA,Renton,01WT,,01WT
01WY,small_airport,Keyhole Airport,"-104.81099700927734, 44.347198486328125",4250,NA,US,US-WY,Moorcroft,01WY,,01WY
01XA,heliport,Seton Medical Center Hays Heliport,"-97.853333, 30.007222",715,NA,US,US-TX,Kyle,01XA,,01XA
01XS,heliport,Meadowood Ranch Heliport,"-95.74549865722656, 32.020198822021484",500,NA,US,US-TX,Athens,01XS,,01XS
02AK,small_airport,Rustic Wilderness Airport,"-150.09800720214844, 61.87689971923828",190,NA,US,US-AK,Willow,02AK,,02AK
02AL,small_airport,Bass Field,"-87.76439666748047, 30.37150001525879",61,NA,US,US-AL,Foley,02AL,,02AL
02AR,small_airport,Three Rivers Airport,"-92.4444198608, 34.8224449158",264,NA,US,US-AR,Little Rock,02AR,,02AR
02AZ,closed,Winchester Farm Airstrip,"-109.936996, 32.376401",4200,NA,US,US-AZ,Willcox,,,
02CA,heliport,Swepi Beta Platform Ellen Heliport,"-118.12899780273438, 33.58250045776367",122,NA,US,US-CA,Huntington Beach,02CA,,02CA
02CD,small_airport,Shannon Field,"-90.52400207519531, 34.129600524902344",165,NA,US,US-MS,Clarksdale,02CD,,02CD
02CL,small_airport,Conover Air Lodge Airport,"-119.05899810791016, 34.76110076904297",5160,NA,US,US-CA,Frazier Park,02CL,,02CL
02CO,small_airport,Mc Cullough Airport,"-106.04699707, 37.64329910279999",7615,NA,US,US-CO,Monte Vista,02CO,,02CO
02CT,heliport,Strangers Point Heliport,"-72.44450378417969, 41.91960144042969",540,NA,US,US-CT,Ellington,02CT,,02CT
02FA,small_airport,Osborn Airfield,"-81.87480163574219, 28.52669906616211",121,NA,US,US-FL,Groveland,02FA,,02FA
02FL,small_airport,Cuchens Airport,"-86.123889, 30.642778",215,NA,US,US-FL,Defuniak Springs,02FL,,02FL
02GA,small_airport,Doug Bolton Field,"-83.42900085449219, 34.202598571777344",884,NA,US,US-GA,Commerce,02GA,,02GA
02GE,small_airport,Etowah Fields Airport,"-84.92440032958984, 34.17530059814453",710,NA,US,US-GA,Euharlee,02GE,,02GE
02HI,heliport,K3 Helipad Heliport,"-157.9510040283203, 21.36199951171875",9,NA,US,US-HI,Pearl Harbor,02HI,,02HI
02IA,heliport,Boone County Hospital Heliport,"-93.87799835205078, 42.05609893798828",1160,NA,US,US-IA,Boone,02IA,,02IA
02ID,small_airport,Morgan Ranch Airport,"-115.30500030517578, 44.55550003051758",5634,NA,US,US-ID,Cascade,02ID,,02ID
02II,small_airport,King Ultralightport,"-86.21050262451172, 40.06230163574219",925,NA,US,US-IN,Westfield,02II,,02II
02IN,small_airport,Diamond P. Field,"-85.54080200195312, 40.208900451660156",904,NA,US,US-IN,Muncie,02IN,,02IN
02IS,heliport,Condell Medical Center Heliport,"-87.9572982788086, 42.274600982666016",762,NA,US,US-IL,Libertyville,02IS,,02IS
02KS,small_airport,Jmj Landing Airport,"-96.0552978515625, 39.222198486328125",1170,NA,US,US-KS,St Marys,02KS,,02KS
02KY,heliport,Boone National Guard Heliport,"-84.89990234375, 38.18339920043945",760,NA,US,US-KY,Frankfort,02KY,,02KY
02LA,heliport,La State Police Troop G Heliport,"-93.66020202636719, 32.53129959106445",168,NA,US,US-LA,Bossier City,02LA,,02LA
02LS,heliport,Windy Hill Heliport,"-91.91899871826172, 30.148300170898438",25,NA,US,US-LA,Broussard,02LS,,02LS
02MA,heliport,Cuttyhunk Heliport,"-70.927001953125, 41.41960144042969",9,NA,US,US-MA,Gosnold,02MA,,02MA
02MD,small_airport,Garner Field,"-76.709739, 38.672544",141,NA,US,US-MD,Brandywine,02MD,,02MD
02ME,small_airport,Old Acton Airfield,"-70.92939758300781, 43.53730010986328",700,NA,US,US-ME,Acton,02ME,,02ME
02MI,small_airport,Fairplains Airpark,"-85.14849853515625, 43.157100677490234",850,NA,US,US-MI,Greenville,02MI,,02MI
02MN,small_airport,Greenbush Municipal Airport,"-96.19200134277344, 48.68330001831055",1070,NA,US,US-MN,Greenbush,02MN,,02MN
02MO,small_airport,Troy Airpark,"-91.03350067138672, 39.04999923706055",650,NA,US,US-MO,Troy,02MO,,02MO
02MS,small_airport,Watts Field,"-90.8468017578125, 34.100101470947266",153,NA,US,US-MS,Rochdale,02MS,,02MS
02MT,small_airport,Barrett Field,"-111.74199676513672, 47.23740005493164",3350,NA,US,US-MT,Cascade,02MT,,02MT
02MU,small_airport,Timber Line Airpark,"-93.79740142822266, 36.65420150756836",1550,NA,US,US-MO,Cassville,02MU,,02MU
02NC,heliport,Race City Heliport,"-80.597778, 35.541111",809,NA,US,US-NC,Landis,02NC,,02NC
02NE,small_airport,Benes Service Airport,"-96.90450286865234, 41.074501037597656",1550,NA,US,US-NE,Valparaiso,02NE,,02NE
02NH,seaplane_base,Iroquois Landing Seaplane Base,"-71.21910095214844, 44.657100677490234",1180,NA,US,US-NH,Dummer,02NH,,02NH
02NJ,heliport,Penske Heliport,"-74.46710205078125, 40.55730056762695",78,NA,US,US-NJ,Piscataway,02NJ,,02NJ
02NV,small_airport,Paiute Meadows Airport,"-118.5979995727539, 41.30329895019531",4443,NA,US,US-NV,Winnemucca,02NV,,02NV
02NY,heliport,Hansen Heliport,"-75.65550231933594, 43.132598876953125",435,NA,US,US-NY,Durhamville,02NY,,02NY
02OH,small_airport,Zimmerman Airport,"-83.08329772949219, 41.376399993896484",614,NA,US,US-OH,Fremont,02OH,,02OH
02OI,small_airport,Murtha Airport,"-80.56539916992188, 41.801998138427734",950,NA,US,US-OH,Conneaut,02OI,,02OI
02OK,heliport,Canon Heliport,"-97.52529907226562, 35.45840072631836",1191,NA,US,US-OK,Oklahoma City,02OK,,02OK
02OR,small_airport,Rowena Dell Airport,"-121.31600189208984, 45.68149948120117",705,NA,US,US-OR,The Dalles,02OR,,02OR
02P,heliport,Stottle Memorial Heliport,"-77.55660247802734, 40.40359878540039",591,NA,US,US-PA,Honey Grove,02P,,02P
02PA,heliport,Lag Iii Heliport,"-79.7699966430664, 40.43830108642578",1070,NA,US,US-PA,Monroeville,02PA,,02PA
02PN,heliport,Peco Berwyn Heliport,"-75.4552001953125, 40.06959915161133",390,NA,US,US-PA,Berwyn,02PN,,02PN
02PR,small_airport,Cuylers Airport,"-66.36689758300781, 18.45330047607422",15,NA,PR,PR-U-A,Vega Baja,02PR,,02PR
02PS,small_airport,Hughes Ultralightport,"-77.23030090332031, 41.90060043334961",1700,NA,US,US-PA,Tioga,02PS,,02PS
02SC,small_airport,Harpers Airport,"-81.22480010986328, 32.75849914550781",111,NA,US,US-SC,Estill,02SC,,02SC
02T,small_airport,Wise River Airport,"-112.98200225830078, 45.769100189208984",5830,NA,US,US-MT,Wise River,02T,,02T
02TA,heliport,Matagorda Shore Facility Heliport,"-95.8738021850586, 28.721399307250977",5,NA,US,US-TX,Matagorda,02TA,,02TA
02TE,heliport,Baylor Medical Center Heliport,"-96.86419677734375, 32.39540100097656",560,NA,US,US-TX,Waxahachie,02TE,,02TE
02TN,small_airport,Ellis Field,"-86.58419799804688, 35.780601501464844",840,NA,US,US-TN,Murfreesboro,02TN,,02TN
02TS,closed,FWOMC Heliport,"-97.370003, 32.747601",684,NA,US,US-TX,Fort Worth,,,
02TX,small_airport,The Palms At Kitty Hawk Airport,"-101.92288208, 33.3704032898",3235,NA,US,US-TX,New Home,02TX,,02TX
02UT,small_airport,Lucin Airport,"-113.84300231933594, 41.36629867553711",4412,NA,US,US-UT,Lucin,02UT,,02UT
02VA,small_airport,The Greenhouse Airport,"-77.8572006225586, 38.435699462890625",320,NA,US,US-VA,Culpeper,02VA,,02VA
02VG,heliport,Northstar Aviation Heliport,"-82.11669921875, 36.63880157470703",1850,NA,US,US-VA,Bristol,02VG,,02VG
02WA,small_airport,Cawleys South Prairie Airport,"-122.09400177001953, 47.15230178833008",690,NA,US,US-WA,South Prairie,02WA,,02WA
02WI,small_airport,Beer Airport,"-92.65579986572266, 45.031898498535156",920,NA,US,US-WI,Hudson,02WI,,02WI
02WN,small_airport,Fowler Field,"-119.31900024414062, 48.74580001831055",2150,NA,US,US-WA,Tonasket,02WN,,02WN
02XS,small_airport,Seidel Ranch Airport,"-97.66280364990234, 30.1476993560791",510,NA,US,US-TX,Elroy,02XS,,02XS
03AA,heliport,Trapper T Heliport,"-149.284527, 61.556055",159,NA,US,US-AK,Palmer,03AA,,03AA
03AK,seaplane_base,Joe Clouds Seaplane Base,"-151.13278198242188, 60.72722244262695",150,NA,US,US-AK,Kenai,03AK,,03AK
03AL,heliport,Highland Medical Center Heliport,"-86.046774, 34.662604",628,NA,US,US-AL,Scottsboro,03AL,,03AL
03AR,heliport,Hscmh Heliport,"-92.78849792480469, 34.357601165771484",350,NA,US,US-AR,Malvern,03AR,,03AR
03AZ,small_airport,Thompson International Aviation Airport,"-110.08399963378906, 31.433399200439453",4275,NA,US,US-AZ,Hereford,03AZ,,03AZ
03CA,heliport,Grossmont Hospital Heliport,"-117.006952, 32.779484",634,NA,US,US-CA,La Mesa,03CA,,03CA
03CO,small_airport,Kugel-Strong Airport,"-104.744003296, 40.2125015259",4950,NA,US,US-CO,Platteville,03CO,,03CO
03FA,small_airport,Lake Persimmon Airstrip,"-81.40809631347656, 27.353099822998047",70,NA,US,US-FL,Lake Placid,03FA,,03FA
03FD,closed,Tharpe Airport,"-85.731003, 30.8288",115,NA,US,US-FL,Bonifay,,,
03FL,heliport,Ranger Heliport,"-80.18730163574219, 26.683700561523438",20,NA,US,US-FL,West Palm Beach,03FL,,03FL
03GA,small_airport,HIA Airport,"-81.8576944, 32.5623056",238,NA,US,US-IN,Statesboro,03GA,,03GA
03I,closed,Clarks Dream Strip,"-83.018204, 39.644199",680,NA,US,US-OH,Circleville,,,
03IA,small_airport,East Field,"-92.4613037109375, 41.58190155029297",954,NA,US,US-IA,Montezuma,03IA,,03IA
03ID,small_airport,Flying Y Ranch Airport,"-116.53299713134766, 44.7943000793457",3180,NA,US,US-ID,Council,03ID,,03ID
03II,small_airport,Davis Field Ultralightport,"-87.7789001465, 37.9620018005",465,NA,US,US-IN,Mount Vernon,03II,,03II
03IL,small_airport,Wix Airport,"-87.81670379638672, 41.40230178833008",750,NA,US,US-IL,Monee,03IL,,03IL
03IN,small_airport,Heinzman Airport,"-86.01249694824219, 40.18000030517578",850,NA,US,US-IN,Arcadia,03IN,,03IN
03IS,heliport,OSF St Anthony's Health Center Heliport,"-90.173401, 38.904999",580,NA,US,US-IL,Alton,03IS,,03IS
03KS,heliport,Valley Grain Heliport,"-95.26409912109375, 39.86470031738281",1160,NA,US,US-KS,Highland,03KS,,03KS
03KY,small_airport,Flying H Farms Airport,"-87.54139709472656, 37.79169845581055",385,NA,US,US-KY,Henderson,03KY,,03KY
03LA,heliport,Damien Heliport,"-91.12789916992188, 30.199600219726562",25,NA,US,US-LA,Carville,03LA,,03LA
03LS,heliport,Fmc Nr 1 Heliport,"-91.70800018310547, 32.159000396728516",79,NA,US,US-LA,Winnsboro,03LS,,03LS
03M,seaplane_base,Lakeside Marina Seaplane Base,"-69.8895034790039, 44.320899963378906",165,NA,US,US-ME,East Winthrop,03M,,03M
03MA,small_airport,Hadley Airport,"-72.552001953125, 42.39310073852539",150,NA,US,US-MA,Hadley,03MA,,03MA
03MD,heliport,Upper Chesapeake Medical Center Heliport,"-76.32669830322266, 39.522499084472656",302,NA,US,US-MD,Bel Air,03MD,,03MD
03ME,small_airport,Maple Ridge Airport,"-70.6272964477539, 44.08420181274414",556,NA,US,US-ME,Harrison,03ME,,03ME
03MI,heliport,Harold Miller Heliport,"-83.86219787597656, 43.550899505615234",585,NA,US,US-MI,Bay City,03MI,,03MI
03MN,small_airport,Nauerth Land Ranch Airport,"-95.22470092773438, 43.62519836425781",1435,NA,US,US-MN,Lakefield,03MN,,03MN
03MO,small_airport,Cahoochie Airport,"-93.13159942626953, 37.884498596191406",1010,NA,US,US-MO,Urbana,03MO,,03MO
